0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
695,203,640,344,500,344,445,500,473,563,806,328,918,485,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,172,723,172,584,187,751,203
695,203,640,344,500,344,445,516,473,579,806,328,918,485,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,172,723,172,584,172,779,203
667,203,640,344,500,344,445,516,473,563,806,328,918,485,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,172,723,172,584,187,751,203
667,203,640,344,500,344,445,516,473,563,806,328,918,485,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,172,723,172,584,187,751,203
667,203,640,344,473,328,445,516,473,563,806,328,918,485,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,172,695,172,584,187,751,203
667,203,640,344,500,344,445,516,473,563,806,328,918,485,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,172,695,172,584,187,751,203
667,203,640,344,500,344,445,500,473,563,806,328,918,469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,187,695,172,584,187,751,203
667,203,640,344,473,328,445,500,473,563,806,328,918,469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,172,695,172,584,187,751,203
667,219,640,344,473,328,445,516,473,563,806,328,918,469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,172,695,172,584,187,751,203
667,219,640,344,473,328,445,500,473,563,806,328,918,469,973,657,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,187,695,172,584,187,751,203
667,219,640,328,473,328,445,500,473,563,806,328,918,453,946,657,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,187,695,187,584,187,751,203
667,219,640,328,473,328,445,500,473,563,806,328,918,453,946,641,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,187,695,187,584,187,751,203
667,219,640,344,473,328,445,500,473,547,834,328,918,469,918,626,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,187,723,187,584,187,751,203
667,219,640,328,473,328,445,500,473,547,834,328,918,469,918,579,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,187,723,187,556,187,751,203
695,219,640,328,500,328,445,500,500,563,806,328,946,485,890,563,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,187,723,187,584,187,779,203
695,219,640,328,500,328,445,485,473,563,806,313,946,469,890,532,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,187,723,187,584,187,779,203
695,234,612,328,500,328,445,500,473,563,806,313,946,485,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,187,723,187,584,187,-1,-1
695,234,640,328,473,328,417,500,473,563,806,313,946,500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,203,723,203,584,203,-1,-1
695,234,612,328,473,328,417,500,473,563,806,313,946,485,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,203,723,203,584,203,-1,-1
695,234,612,360,473,328,417,500,473,547,806,313,946,485,806,469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,640,203,723,203,584,203,-1,-1
