[259 113  82  82],[ 83 102  97  97]
[263 112  86  86],[300 116  75  75]
[250  97  89  89],[79 87 98 98]
[165 251 135 135],[250 109  90  90]
[254 107  86  86],[ 78  94 100 100]
[255 119  80  80],[ 76 100 101 101]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[ 76  90 113 113],[251 304  60  60]
[ 84  79 130 130],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[225 109  95  95],[ 82  78 110 110]
[247 124  81  81],[ 87  85 111 111]
[ 88 113 109 109],[248 150  81  81]
[237 126  83  83],[ 80  92 108 108]
[236 119  82  82],[ 76  82 112 112]
[ 62  72 111 111],[220 109  82  82]
[231 112  81  81],[149 279  52  52]
[144 275  49  49],[ 65  72 111 111]
[234 117  79  79],[147 284  53  53]
[232 114  76  76],[ 75  82 100 100]
[232 120  67  67],[ 63  80 105 105]
[230 115  69  69],[ 67  78 100 100]
[232 116  68  68],[ 66  76 105 105]
[75 85 98 98],[244 125  60  60]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[250 128  60  60],[ 92  87 106 106]
[121 264  50  50],[224 105  62  62]
[264 132  64  64],[268  73  50  50]
[273 140  59  59],[ 98  92 110 110]
[211 172  50  50],[-1 -1 -1 -1]
[187 338  64  64],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[246  56  53  53],[-1 -1 -1 -1]
[256 121  60  60],[ 94 103  86  86]
[245 102  70  70],[75 86 97 97]
[259 119  76  76],[ 91 106  97  97]
[100 110  96  96],[270 122  80  80]
[ 92 106  94  94],[263 117  80  80]
[270 126  76  76],[ 97 113  95  95]
[ 96 108  95  95],[269 120  77  77]
[267 116  82  82],[ 97 108  93  93]
[255 116  75  75],[ 79 105  96  96]
[ 96 107  97  97],[267 118  76  76]
[255 111  74  74],[ 81  96 102 102]
[258 125  77  77],[ 84 113 101 101]
[244 111  73  73],[ 75 100  99  99]
[252 111  71  71],[ 82  99 101 101]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[140 234  94  94],[73 74 98 98]
[84 80 96 96],[210 108  90  90]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[ 87  77 100 100],[144 241 100 100]
[259 125  71  71],[230 123  78  78]
[237 126  70  70],[82 89 89 89]
[82 85 92 92],[245 127  66  66]
[232 109  57  57],[ 59  55 106 106]
[241 112  62  62],[ 72  61 106 106]
[ 76  74 107 107],[244 128  56  56]
[ 78  71 108 108],[248 126  55  55]
[252 134  52  52],[133 272  67  67]
[ 76  70 111 111],[233 130  60  60]
[ 76  72 118 118],[242 144  58  58]
[ 72  51 121 121],[220 124  72  72]
[ 64  61 117 117],[209 132  63  63]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[ 99 111  87  87],[250 136  56  56]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[256 134  55  55],[ 94 104 103 103]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[209 364  31  31],[250 135  57  57]
[231  42  45  45],[ 72  72 104 104]
[194 295  46  46],[233 111  65  65]
[ 72  94 102 102],[213 110  93  93]
